Rewards,Mean Reward,Epsilon
8.0,9.085470085470085,0.1
6.0,9.059322033898304,0.1
5.0,9.025210084033613,0.1
7.0,9.008333333333333,0.1
6.0,8.983471074380166,0.1
3.0,8.934426229508198,0.1
14.0,8.975609756097562,0.1
6.0,8.951612903225806,0.1
3.0,8.904,0.1
3.0,8.857142857142858,0.1
9.0,8.858267716535433,0.1
7.0,8.84375,0.1
5.0,8.813953488372093,0.1
6.0,8.792307692307693,0.1
7.0,8.778625954198473,0.1
9.0,8.780303030303031,0.1
9.0,8.781954887218046,0.1
1.0,8.723880597014926,0.1
11.0,8.74074074074074,0.1
4.0,8.705882352941176,0.1
5.0,8.678832116788321,0.1
6.0,8.659420289855072,0.1
2.0,8.611510791366907,0.1
11.0,8.628571428571428,0.1
10.0,8.638297872340425,0.1
1.0,8.584507042253522,0.1
10.0,8.594405594405595,0.1
7.0,8.583333333333334,0.1
3.0,8.544827586206896,0.1
1.0,8.493150684931507,0.1
4.0,8.462585034013605,0.1
7.0,8.452702702702704,0.1
4.0,8.422818791946309,0.1
10.0,8.433333333333334,0.1
4.0,8.403973509933774,0.1
7.0,8.394736842105264,0.1
5.0,8.372549019607844,0.1
3.0,8.337662337662337,0.1
8.0,8.335483870967742,0.1
6.0,8.320512820512821,0.1
0.0,8.26751592356688,0.1
4.0,8.240506329113924,0.1
12.0,8.264150943396226,0.1
3.0,8.23125,0.1
5.0,8.211180124223603,0.1
4.0,8.185185185185185,0.1
8.0,8.184049079754601,0.1
4.0,8.158536585365853,0.1
8.0,8.157575757575758,0.1
6.0,8.144578313253012,0.1
2.0,8.107784431137725,0.1
6.0,8.095238095238095,0.1
5.0,8.076923076923077,0.1
6.0,8.064705882352941,0.1
3.0,8.035087719298245,0.1
2.0,8.0,0.1
3.0,7.971098265895954,0.1
7.0,7.9655172413793105,0.1
6.0,7.954285714285715,0.1
4.0,7.931818181818182,0.1
10.0,7.943502824858757,0.1
2.0,7.910112359550562,0.1
1.0,7.871508379888268,0.1
3.0,7.844444444444444,0.1
5.0,7.828729281767956,0.1
5.0,7.813186813186813,0.1
6.0,7.80327868852459,0.1
0.0,7.760869565217392,0.1
2.0,7.72972972972973,0.1
